# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Full Version
# File: E:/Verilog Projects/rRISC8 v1.1/rtl/rRISC.csv
# Generated on: Sat Jan 14 20:56:07 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,VREF Group,Slew Rate,Differential Pair
clk_50MHz_pad_i,Input,PIN_R8,3,2.5 V,,8mA,B3_N0,,
dip_switch_pad_i[3],Input,PIN_M15,5,,,,B5_N0,,
dip_switch_pad_i[2],Input,PIN_B9,7,,,,B7_N0,,
dip_switch_pad_i[1],Input,PIN_T8,3,,,,B3_N0,,
dip_switch_pad_i[0],Input,PIN_M1,2,,,,B2_N0,,
i2c_sclk_pad_io,Bidir,PIN_F2,1,,,,B1_N0,,
i2c_sdat_pad_io,Bidir,PIN_F1,1,,,,B1_N0,,
led_pad_o[7],Output,PIN_L3,2,2.5 V,,8mA,B2_N0,,
led_pad_o[6],Output,PIN_B1,1,2.5 V,,8mA,B1_N0,,
led_pad_o[5],Output,PIN_F3,1,2.5 V,,8mA,B1_N0,,
led_pad_o[4],Output,PIN_D1,1,2.5 V,,8mA,B1_N0,,
led_pad_o[3],Output,PIN_A11,7,2.5 V,,8mA,B7_N0,,
led_pad_o[2],Output,PIN_B13,7,2.5 V,,8mA,B7_N0,,
led_pad_o[1],Output,PIN_A13,7,2.5 V,,8mA,B7_N0,,
led_pad_o[0],Output,PIN_A15,7,2.5 V,,8mA,B7_N0,,
n_button_pad_i,Input,PIN_E1,1,2.5 V,,8mA,B1_N0,,
n_rst_pad_i,Input,PIN_J15,5,2.5 V,,8mA,B5_N0,,
spi_din_pad_i,Input,PIN_A9,7,,,,B7_N0,,
spi_dout_pad_o,Output,PIN_B10,7,,,,B7_N0,,
spi_ncs_pad_o,Output,PIN_A10,7,,,,B7_N0,,
spi_sclk_pad_o,Output,PIN_B14,7,,,,B7_N0,,
test_i2c_sclk_o,Output,PIN_L14,5,,,,B5_N0,,
test_i2c_sdat_o,Output,PIN_M10,4,,,,B4_N0,,
test_spi_din_o,Output,PIN_P14,4,,,,B4_N0,,
test_spi_dout_o,Output,PIN_N14,5,,,,B5_N0,,
test_spi_ncs_o,Output,PIN_N15,5,,,,B5_N0,,
test_spi_sclk_o,Output,PIN_L13,5,,,,B5_N0,,
uart_rxd_pad_i,Input,PIN_B5,8,,,,B8_N0,,
uart_txd_pad_o,Output,PIN_A4,8,,,,B8_N0,,
